Audi,RS 3,2021,400,Benzīns,AWD,II,8.3,60000,"Audi RS 3 ir kompakts sporta sedans ar augstu veiktspēju un izcilu vadāmību. Tas apvieno ikdienas praktiskumu ar sacīkšu auto jaudu."
Audi,RS 5,2022,450,Benzīns,AWD,II,9.2,75000,"Audi RS 5 ir vidēja izmēra kupeja ar jaudīgu V6 motoru, quattro piedziņu un elegantu dizainu, piemērota gan trasēm, gan ikdienai."
Audi,R8,2018,600,Benzīns,AWD,II,13.0,160000,"Audi R8 ir supersporta auto ar V10 motoru un izcilu dinamiku, kas piedāvā neaizmirstamu braukšanas pieredzi."
Audi,Q7,2020,493,Dīzelis,AWD,I,12.1,130000,"Audi Q7 V12 TDI ir jaudīgs SUV ar izcilu veiktspēju un sportisku dizainu, kas apvieno komfortu ar dinamiku."
Audi,E-Tron GT,2023,590,Elektro,AWD,I,0.0,100000,"Audi E-Tron GT ir elektrisks gran turismo ar augstu veiktspēju un progresīvu dizainu, piedāvājot nākotnes braukšanas pieredzi."
BMW,M340i,2022,387,Benzīns,AWD,I,8.5,65000,"BMW M340i ir sportisks sedans ar M Performance tehnoloģijām, kas nodrošina dinamisku un komfortablu braukšanu."
BMW,M4,2020,425,Benzīns,RWD,II,10.0,80000,"BMW M4 ir sporta kupeja ar jaudīgu motoru un agresīvu dizainu, ideāli piemērota sportiskai braukšanai."
BMW,M5,2018,600,Benzīns,AWD,III,11.0,120000,"BMW M5 ir augstas veiktspējas biznesa klases sedans ar jaudīgu V8 motoru un pilnpiedziņu, apvienojot luksusu ar spēku."
BMW,X3 M,2022,510,Benzīns,AWD,I,11.5,85000,"BMW X3 M ir kompakts sporta SUV ar M specifikāciju, piedāvājot dinamiku un praktiskumu vienā paketē."
BMW,X5 M,2021,600,Benzīns,AWD,III,12.0,110000,"BMW X5 M ir jaudīgs SUV ar sportisku vadāmību un augstu komforta līmeni, kas piemērots arī ģimenēm."
Mercedes-Benz,C63,2009,457,Benzīns,RWD,III,10.5,70000,"Mercedes-Benz C63 ir kompakts sporta sedans ar V8 motoru un klasisku AMG dizainu, ideāli piemērots auto entuziastiem."
Mercedes-Benz,E63,2018,571,Benzīns,AWD,III,11.0,100000,"Mercedes-Benz E63 AMG ir luksusa sedans ar augstu veiktspēju, apvienojot komfortu un sacīkšu auto jaudu."
Mercedes-Benz,GLS63,2020,603,Benzīns,AWD,II,12.5,120000,"Mercedes-Benz GLS63 ir liels luksusa SUV ar AMG V8 motoru, nodrošinot greznu braukšanu un sportisku jaudu."
Mercedes-Benz,SLS,2010,622,Benzīns,RWD,I,13.0,180000,"Mercedes-Benz SLS ir ekskluzīvs sporta auto ar ikoniskiem paceļamiem durvīm un V8 motoru."
Mercedes-Benz,GT R,2017,577,Benzīns,RWD,I,12.0,150000,"Mercedes-AMG GT R ir augstas veiktspējas kupeja ar izcilu vadāmību un sporta auto estētiku."
Porsche,718,2020,394,Benzīns,RWD,II,9.5,70000,"Porsche 718 ir kompakts sporta auto ar precīzu vadāmību un klasisku dizainu, ideāls braukšanas baudai."
Porsche,911,2023,640,Benzīns,RWD,III,10.0,110000,"Porsche 911 ir leģendārs sporta auto ar izcilu dinamiku, kvalitāti un ikdienas lietojamību."
Porsche,Cayenne,2021,650,Benzīns,AWD,III,11.5,170000,"Porsche Cayenne ir jaudīgs luksusa SUV ar sportisku raksturu un Porsche inženieriju."
Porsche,Macan,2021,434,Benzīns,AWD,II,10.5,80000,"Porsche Macan ir kompakts SUV ar sportisku vadāmību un augstu kvalitāti, kas piemērots aktīvam dzīvesstilam."
Porsche,Taycan,2020,764,Elektro,AWD,I,0.0,120000,"Porsche Taycan ir elektriskais sporta auto ar augstu veiktspēju, kas nosaka jaunu standartu elektroauto segmentā."
Volkswagen,Arteon R,2020,310,Benzīns,AWD,II,9.0,60000,"Volkswagen Arteon R ir stilīgs sedans ar sportisku veiktspēju un augstu komforta līmeni."
Volkswagen,Golf 7 R,2021,310,Benzīns,AWD,VII,8.5,40000,"Volkswagen Golf R ir kompakts hot-hatch ar pilnpiedziņu un jaudīgu motoru, kas piedāvā aizraujošu braukšanu."
Volkswagen,Passat R36 (B6),2008,300,Benzīns,AWD,VI,10.5,20000,"Volkswagen Passat R36 ir unikāls augstas veiktspējas sedans ar V6 motoru un elegantu dizainu."
Volkswagen,Tiguan R,2023,320,Benzīns,AWD,II,9.0,55000,"Volkswagen Tiguan R ir sportisks SUV ar pilnpiedziņu un uzlabotu jaudu, piemērots dinamiskai ikdienai."
Volkswagen,Touareg W12,2006,450,Benzīns,AWD,I,15.0,25000,"Volkswagen Touareg W12 ir ekskluzīvs SUV ar divpadsmit cilindru motoru un greznu aprīkojumu."
